Number,price,house_type,house_type_v2,house_type_2,rooms,rooms_v2,m2,m2_v2,price_m2,elevator,garage,neighborhood,district
1,"495,000",planta 1,Plantas inferiores,exterior,3,1 - 5 rooms,118,Piso intermedio,"4,195",SI,SI,Chopera,Arganzuela
2,"485,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,82,Piso peque,"5,915",SI,SI,Palos de Moguer,Arganzuela
3,"315,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,72,Piso peque,"4,375",NO,NO,Legazpi,Arganzuela
4,"585,000",planta 4,Plantas inferiores,exterior,2,1 - 5 rooms,174,Piso grande,"3,362",SI,SI,Palos de Moguer,Arganzuela
5,"255,000",bajo,Sotano,exterior,3,1 - 5 rooms,75,Piso peque,"3,400",NO,NO,Acacias,Arganzuela
6,"299,000",planta 1,Plantas inferiores,exterior,1,1 - 5 rooms,69,Piso peque,"4,333",SI,NO,Chopera,Arganzuela
7,"265,000",planta 3,Plantas inferiores,exterior,2,1 - 5 rooms,54,Piso peque,"4,907",SI,NO,Delicias,Arganzuela
8,"290,000",planta 3,Plantas inferiores,interior,4,1 - 5 rooms,69,Piso peque,"4,203",SI,NO,Chopera,Arganzuela
9,"660,220",planta 2,Plantas inferiores,exterior,3,1 - 5 rooms,129,Piso intermedio,"5,118",SI,SI,Imperial,Arganzuela
10,"525,000",planta 4,Plantas inferiores,exterior,4,1 - 5 rooms,111,Piso intermedio,"4,730",SI,NO,Chopera,Arganzuela
11,"429,900",bajo,Sotano,interior,3,1 - 5 rooms,139,Piso intermedio,"3,093",NO,NO,Acacias,Arganzuela
12,"385,000",planta 6,Plantas intermedias,exterior,4,1 - 5 rooms,100,Piso peque,"3,850",SI,NO,Chopera,Arganzuela
13,"299,000",planta 2,Plantas inferiores,exterior,3,1 - 5 rooms,85,Piso peque,"3,518",SI,NO,Delicias,Arganzuela
14,"430,000",planta 3,Plantas inferiores,exterior,2,1 - 5 rooms,92,Piso peque,"4,674",SI,NO,Palos de Moguer,Arganzuela
15,"350,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,91,Piso peque,"3,846",SI,NO,Imperial,Arganzuela
16,"350,000",planta 2,Plantas inferiores,exterior,2,1 - 5 rooms,91,Piso peque,"3,846",SI,NO,Imperial,Arganzuela
17,"479,000",planta 1,Plantas inferiores,exterior,4,1 - 5 rooms,121,Piso intermedio,"3,959",SI,NO,Imperial,Arganzuela
18,"420,000",planta 4,Plantas inferiores,exterior,2,1 - 5 rooms,105,Piso intermedio,"4,000",SI,NO,Palos de Moguer,Arganzuela
19,"239,000",planta 3,Plantas inferiores,interior,2,1 - 5 rooms,54,Piso peque,"4,426",SI,NO,Palos de Moguer,Arganzuela
20,"585,000",planta 4,Plantas inferiores,exterior,2,1 - 5 rooms,110,Piso intermedio,"5,318",SI,SI,Palos de Moguer,Arganzuela
21,"410,000",planta 5,Plantas intermedias,exterior,3,1 - 5 rooms,79,Piso peque,"5,190",SI,NO,Acacias,Arganzuela
